Retailer,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Operating Margin,Sales Method,Month,Year,Day,Season,Correct Total Sales,,,,,,,
Amazon,South,Alabama,Birmingham,Men's Street Footwear,40,450,6300,0.35,Outlet,October,2021,12,Autumn,18000,,,,,,,
Amazon,South,Alabama,Birmingham,Men's Athletic Footwear,40,250,3500,0.35,Outlet,October,2021,13,Autumn,10000,,,,,,,
Amazon,South,Alabama,Birmingham,Women's Street Footwear,30,250,3000,0.4,Outlet,October,2021,14,Autumn,7500,,,,,Walmart (Higher Mean Operating Profit):,"Pros: Efficient resource utilization, better profit margins.",Cons: May have a smaller market share.
Amazon,South,Alabama,Birmingham,Women's Athletic Footwear,35,100,1050,0.3,Outlet,October,2021,15,Autumn,3500,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,50,150,1875,0.25,Outlet,October,2021,16,Autumn,7500,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,40,250,4000,0.4,Outlet,October,2021,17,Autumn,10000,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Street Footwear,40,500,7000,0.35,Outlet,October,2021,18,Autumn,20000,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Athletic Footwear,40,150,2100,0.35,Outlet,October,2021,19,Autumn,6000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Street Footwear,30,,2400,0.4,Outlet,October,2021,20,Autumn,6000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Athletic Footwear,35,75,787.5,0.3,Outlet,October,2021,21,Autumn,2625,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,50,150,1875,0.25,Outlet,October,2021,22,Autumn,7500,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,40,250,4000,0.4,Outlet,October,2021,23,Autumn,10000,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Street Footwear,40,470,6580,0.35,Outlet,October,2021,24,Autumn,18800,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Athletic Footwear,40,175,2450,0.35,Outlet,October,2021,25,Autumn,7000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Street Footwear,30,200,2400,0.4,Outlet,October,2021,26,Autumn,6000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Athletic Footwear,35,50,525,0.3,Outlet,October,2021,27,Autumn,1750,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,50,100,1250,0.25,Outlet,October,2021,28,Autumn,5000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,40,200,3200,0.4,Outlet,October,2021,29,Autumn,8000,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Street Footwear,40,450,6300,0.35,Outlet,October,2021,30,Autumn,18000,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Athletic Footwear,40,150,2100,0.35,Outlet,October,2021,31,Autumn,6000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Street Footwear,30,150,1800,0.4,Outlet,November,2021,1,Autumn,4500,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Athletic Footwear,35,75,787.5,0.3,Outlet,November,2021,2,Autumn,2625,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,50,75,937.5,0.25,Outlet,November,2021,3,Autumn,3750,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,40,225,3600,0.4,Outlet,November,2021,4,Autumn,9000,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Street Footwear,55,495,9528.75,0.35,Outlet,November,2021,5,Autumn,27225,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Athletic Footwear,50,200,3500,0.35,Outlet,November,2021,6,Autumn,10000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Street Footwear,45,175,3150,0.4,Outlet,November,2021,7,Autumn,7875,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Athletic Footwear,45,125,1687.5,0.3,Outlet,November,2021,8,Autumn,5625,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,55,150,2062.5,0.25,Outlet,November,2021,9,Autumn,8250,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,60,275,6600,0.4,Outlet,November,2021,10,Autumn,16500,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Street Footwear,55,525,10106.25,0.35,Outlet,November,2021,11,Autumn,28875,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Athletic Footwear,50,275,4812.5,0.35,Outlet,November,2021,12,Autumn,13750,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Street Footwear,45,200,3600,0.4,Outlet,November,2021,13,Autumn,9000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Athletic Footwear,45,175,2362.5,0.3,Outlet,November,2021,14,Autumn,7875,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,55,175,2406.25,0.25,Outlet,November,2021,15,Autumn,9625,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,60,325,7800,0.4,Outlet,November,2021,16,Autumn,19500,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Street Footwear,55,550,10587.5,0.35,Outlet,November,2021,17,Autumn,30250,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Athletic Footwear,50,300,5250,0.35,Outlet,November,2021,18,Autumn,15000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Street Footwear,45,225,4050,0.4,Outlet,November,2021,19,Autumn,10125,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Athletic Footwear,45,175,2362.5,0.3,Outlet,November,2021,20,Autumn,7875,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,55,200,2750,0.25,Outlet,November,2021,21,Autumn,11000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,60,375,9000,0.4,Outlet,December,2021,20,Winter,22500,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Street Footwear,55,525,10106.25,0.35,Outlet,December,2021,21,Winter,28875,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Athletic Footwear,50,300,5250,0.35,Outlet,December,2021,22,Winter,15000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Street Footwear,45,225,4050,0.4,Outlet,December,2021,23,Winter,10125,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Athletic Footwear,45,175,2362.5,0.3,Outlet,December,2021,24,Winter,7875,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,55,150,2062.5,0.25,Outlet,December,2021,25,Winter,8250,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,60,325,7800,0.4,Outlet,December,2021,26,Winter,19500,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Street Footwear,55,450,8662.5,0.35,Outlet,December,2021,27,Winter,24750,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Athletic Footwear,50,250,4375,0.35,Outlet,December,2021,28,Winter,12500,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Street Footwear,45,150,2700,0.4,Outlet,December,2021,29,Winter,6750,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Athletic Footwear,45,125,1687.5,0.3,Outlet,December,2021,30,Winter,5625,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,55,125,1718.75,0.25,Outlet,December,2021,31,Winter,6875,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,60,225,5400,0.4,Outlet,September,2021,17,Autumn,13500,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Street Footwear,60,400,8400,0.35,Outlet,October,2021,19,Autumn,24000,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Athletic Footwear,55,225,4331.25,0.35,Outlet,October,2021,19,Autumn,12375,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Street Footwear,55,125,2750,0.4,Outlet,October,2021,19,Autumn,6875,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Athletic Footwear,55,100,1650,0.3,Outlet,October,2021,19,Autumn,5500,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,65,100,1625,0.25,Outlet,October,2021,19,Autumn,6500,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,70,225,6300,0.4,Outlet,October,2021,19,Autumn,15750,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Street Footwear,65,375,8531.25,0.35,Outlet,November,2021,18,Autumn,24375,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Athletic Footwear,55,200,3850,0.35,Outlet,November,2021,18,Autumn,11000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Street Footwear,55,195,4290,0.4,Outlet,November,2021,18,Autumn,10725,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Athletic Footwear,55,175,2887.5,0.3,Outlet,November,2021,18,Autumn,9625,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,65,150,2437.5,0.25,Outlet,November,2021,18,Autumn,9750,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,70,250,7000,0.4,Outlet,November,2021,18,Autumn,17500,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Street Footwear,65,475,10806.25,0.35,Outlet,December,2021,17,Winter,30875,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Athletic Footwear,55,275,5293.75,0.35,Outlet,December,2021,17,Winter,15125,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Street Footwear,55,250,5500,0.4,Outlet,December,2021,17,Winter,13750,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Athletic Footwear,55,200,3300,0.3,Outlet,December,2021,17,Winter,11000,,,,,,,
Amazon,Northeast,Maine,Portland,Men's Apparel,65,200,3250,0.25,Outlet,December,2021,17,Winter,13000,,,,,,,
Amazon,Northeast,Maine,Portland,Women's Apparel,70,300,8400,0.4,Outlet,December,2021,17,Winter,21000,,,,,,,
